% # columns="iteration, evaluation, void, void, void, xmean", seed=515380, Tue Nov  7 10:47:21 2023, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.8909252297998517 -0.7168283755237621
2 12 0 0 0 0.9183750222833018 -1.2658027497552835
3 18 0 0 0 0.6603594297726119 -1.1580792753643194
4 24 0 0 0 0.7868240517803291 -1.591297109071523
5 30 0 0 0 0.09904673154855459 -1.7359802378152023
6 36 0 0 0 -0.0481141730725842 -1.5552046482699087
7 42 0 0 0 0.050680495195228215 -1.4183033459126568
8 48 0 0 0 -0.07728156891117482 -1.6567760080555576
9 54 0 0 0 -0.028255003786461313 -1.67015283156886
10 60 0 0 0 0.08792119957274301 -1.6204852665828815
11 66 0 0 0 0.008371957269849822 -1.5585691704120608
12 72 0 0 0 0.022690682995743776 -1.5534879795218521
13 78 0 0 0 0.07036095020758647 -1.5521704864730836
14 84 0 0 0 0.042250133131591754 -1.5576448000384713
15 90 0 0 0 -0.02047957012706899 -1.5682336605317146
16 96 0 0 0 0.010505470261929224 -1.552438585925331
17 102 0 0 0 -0.004055780146533426 -1.557426568561493
18 108 0 0 0 -0.01980338653731006 -1.5616320951723253
19 114 0 0 0 -0.025274403273622154 -1.5710009206124078
20 120 0 0 0 -0.002921997953188201 -1.568964528155803
21 126 0 0 0 0.0011791540617782674 -1.5711657799083876
22 132 0 0 0 -0.003428039217605005 -1.5694990264034239
23 138 0 0 0 0.0007553891507544475 -1.5719362486531914
24 144 0 0 0 0.0008942602115252 -1.5700435211916817
25 150 0 0 0 0.00038818923110197127 -1.569688075657082
26 156 0 0 0 0.0005255010706855755 -1.5718914843954355
27 162 0 0 0 -0.0007261781118948476 -1.571032244498406
28 168 0 0 0 -0.00020264149876008156 -1.5706196042986589
29 174 0 0 0 0.00016002248548243453 -1.5713396879879344
30 180 0 0 0 -0.0001680155001202274 -1.5710932726011617
31 186 0 0 0 -3.6433826759207314e-05 -1.5709076240767
32 192 0 0 0 -9.429135453139452e-06 -1.57094020063081
33 198 0 0 0 8.154690874071368e-08 -1.5707799000152483
34 204 0 0 0 -0.00010431000545617494 -1.5707433910103925
35 210 0 0 0 -7.59522267383568e-05 -1.5707308043700114
36 216 0 0 0 1.8262323387713888e-05 -1.570758407444234
37 222 0 0 0 3.315705409545123e-05 -1.5707412588865208
38 228 0 0 0 2.698047891304946e-05 -1.5707475510871558
39 234 0 0 0 2.6859921478322874e-05 -1.5707869985554126
40 240 0 0 0 2.7837028932806723e-05 -1.5707860593922727
41 246 0 0 0 7.1096308563529245e-06 -1.5708009219710832
42 252 0 0 0 1.1496057422230981e-06 -1.5707885759689177
43 258 0 0 0 1.3924731939580388e-06 -1.5707680389843874
44 264 0 0 0 -8.854072262310308e-07 -1.5707856680472876
45 270 0 0 0 -7.522045500545458e-06 -1.5707934953642504
46 276 0 0 0 -2.518425697977004e-06 -1.5708038081571192
47 282 0 0 0 -1.3298184480807262e-06 -1.5708004247928988
48 288 0 0 0 -3.5901167332457727e-06 -1.5707934679213744
49 294 0 0 0 1.3779062981505234e-06 -1.5707969290004289
50 300 0 0 0 -3.367096958256987e-06 -1.570795386703569
51 306 0 0 0 -8.836118491894775e-07 -1.570798391594122
52 312 0 0 0 8.925349767901837e-08 -1.5707968904506298
53 318 0 0 0 -1.6807929200014158e-06 -1.5707968198059403
54 324 0 0 0 -2.845413128490293e-07 -1.5707971768595248
55 330 0 0 0 -2.4773617575280335e-07 -1.5707966745297084
56 336 0 0 0 -7.089869018780967e-08 -1.570796909453421
57 342 0 0 0 -3.34445973916589e-08 -1.5707965960526673
58 348 0 0 0 -1.2218464711448492e-08 -1.5707964919471886
59 354 0 0 0 -1.6214226846448342e-07 -1.570796360882557
60 360 0 0 0 4.6531995115321965e-08 -1.570796573864074
61 366 0 0 0 1.1398400379291965e-07 -1.57079656530581
62 372 0 0 0 -6.832893049409609e-08 -1.5707963288685773
63 378 0 0 0 3.835377765295307e-08 -1.570796238756398
64 384 0 0 0 8.11007770269196e-08 -1.5707962435271288
65 390 0 0 0 -5.040367865016844e-08 -1.5707963434541545
66 396 0 0 0 -8.352317890350073e-08 -1.5707963566283691
67 402 0 0 0 -3.287344908330116e-08 -1.5707963407134513
68 408 0 0 0 -5.626159620782094e-08 -1.570796315987137
69 414 0 0 0 1.0429180230333145e-08 -1.5707963291192766
